all_metrics_no_bins
all_metrics,,,,,,,,,,,,,,
,Z0_opt_bins_val,Z0_opt_bins_train,Z0_opt_bins_test,Z0unc_opt_bins_val,Z0unc_opt_bins_train,Z0unc_opt_bins_test,Z0_40bins_val,Z0_40bins_train,Z0_40bins_test,rel_ewww_highest_bin_val,rel_ewww_highest_bin_train,rel_ewww_highest_bin_test,learning_rate,weight_EWWW
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_9_0.18_6863788503310855916,9.437698007593010,12.611938752716800,9.225967589953170,6.543442098370090,5.955291094542290,6.161396278715330,9.850409359381990,9.247804143738910,9.636522775793300,0.16203848772377800,0.17473696601449500,0.1711981234544330,9,0.18
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_3_0.08_660351796242448097,9.729961163890260,10.016135662089000,9.657954232609220,6.823164039380210,7.029015530708990,6.734077788005680,10.034916039888300,9.96618130997342,10.155463870385300,0.23911259678736700,0.24365186596420200,0.2304454796117090,3,0.08
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_20_0.12_7284064461908076070,7.504405205843860,4.837484084350540,7.243949406131470,5.420546852842100,3.061212935787870,5.115010029621340,7.901522397741520,7.49367573714897,7.702870373446950,0.18296137466361500,-0.2843132218592400,0.16965673029362000,20,0.12
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_12_0.14_3658109877788609910,7.578427341658670,4.593072556700740,7.027069221703410,5.205765783632980,2.337223856405380,4.60044827519336,7.989105762776600,7.194875643578800,7.471919622017350,0.19887077308897800,-0.34699883076896900,0.1625072579375320,12,0.14
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_20_0.14_1304136710291764808,8.539688748450830,11.443455974502000,8.50529112494027,5.852941203042200,5.433039320649790,6.045245110442300,8.81506077835973,8.547226022780680,9.179206312658410,0.18545911541074200,0.18314956397520300,0.1773349291780010,20,0.14
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_9_0.12_8226149877761426764,9.64954759563757,10.490413571842600,9.744326705083780,6.746501682361600,6.486471996840950,6.963470777711740,9.93768864148486,10.015415632246300,10.079943073338100,0.1882727979864680,0.20082955459211600,0.21073717864751900,9,0.12
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_9_0.16_2657069796406609685,9.444992248218700,13.255140691423000,9.24932310705285,6.5631188170704900,6.050959893532020,6.1905016352612900,9.842948916704390,9.37859674248117,9.747108305030810,0.16751775838738300,0.1902859669062790,0.18006156782191200,9,0.16
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_9_0.05_4005226671625300456,10.131640230173400,7.291682553281280,9.838120313729950,7.1966041608837900,4.944646167342430,6.934002637262430,10.447801485477300,9.316124671905270,10.264898230289600,0.29224200902519100,-0.3971539469778190,0.24207735511420100,9,0.05
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_5_0.08_5631068406385085002,9.704680063815470,8.785455860562080,9.613891245203740,6.260380598415460,5.783150324477910,6.541644700075480,10.191468958999100,9.603694488748820,10.1485754170864,0.21361369864894000,0.21221557432186300,0.22241421097644600,5,0.08
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_12_0.12_6988173056858617086,9.717012725240270,10.12881424880630,9.697025024314030,6.765283217709380,7.0657690870025600,6.57905460919396,10.030481515858200,10.417463371784400,10.129564336443,0.1965836292291730,0.21234120067403600,0.19894025855786300,12,0.12
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_20_0.2_3253213754076609871,9.535629842444610,13.002945684653900,9.490028135976510,6.682058532760420,5.907110381719070,6.566161732479800,9.956210807151960,9.622458384711180,9.939560300701970,0.1884327411524600,0.18394134315218900,0.19443800731242600,20,0.2
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_3_0.18_6181961102750872561,9.33045855567925,11.364330990816600,9.214691499606490,6.5692650381080400,5.258509990187230,6.231105022282190,9.460586436574280,12.056312497596100,9.496738734075600,0.17330602386519200,0.17861589966738600,0.18172444173597400,3,0.18
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_9_0.2_7288446911373355800,8.256820511945550,9.017954596761860,8.197331119864940,5.605107822426260,5.334963759102710,5.616716191583150,8.709138094179430,10.258437207226800,8.655991037642190,0.15362292114232500,0.16115962471753800,0.16055972097470500,9,0.2
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_3_0.12_6058539482436791884,9.540838318925670,9.44443925993834,9.321872417287620,6.837690168867440,6.293634827603960,6.445160101104310,9.94410003128324,9.714148111228710,9.721887831933390,0.21422752270420900,0.17734331912262300,0.18541216784821300,3,0.12
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_5_0.14_1137842891730226954,9.643021569362860,9.987998347801790,9.571562496537780,6.80119166844329,7.182420792746920,6.572398112213060,10.006071409819200,10.344279241795400,9.935313381651870,0.20196684978130100,0.23247936000051600,0.20345475668772900,5,0.14
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_12_0.16_6207623479920010117,9.525130438004390,9.980515589858160,9.459335123531460,6.6943845813548800,6.910924545725950,6.676303091203350,9.81727740056512,9.8692982938231,9.676146718015000,0.18958530367721300,0.20365355030655400,0.18885293761440100,12,0.16
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_3_0.2_3292914575796350214,9.072922572847380,9.487189872274550,8.967868374671380,6.2117744177893400,5.376698478614420,5.934630087843180,9.302609014928490,8.82660462312674,9.376821313057980,0.16815503410944100,0.15312371753317200,0.163207009790547,3,0.2
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_8_0.06_9540529086160243,9.793864568615570,10.786403872633500,9.831630061409920,6.919852703706860,6.926154217179010,6.8362319384533100,10.351906746408000,10.211593150100100,10.221544335760300,0.2259899132740670,0.2519266575381940,0.24660503008137000,8,0.06
